Experiment,Overall_MAE,Overall_RMSE,Overall_MAPE,Overall_sMAPE
BiLSTM Only,24.450090408325195,38.262935638427734,19.697874069213867,15.964853286743164
Transformer Only,26.422428131103516,40.17063903808594,23.05438232421875,17.617645263671875
Proposed Hybrid,24.83266258239746,38.7420654296875,19.261022567749023,16.216733932495117
Ablation: 1 Transformer Layer,26.285829544067383,39.70291519165039,24.401260375976562,17.534730911254883
Ablation: 2 Attention Heads,24.458518981933594,38.31764221191406,19.450031280517578,16.189701080322266
Ablation: BiLSTM Hidden Size = 32,25.84783172607422,39.806854248046875,20.76173210144043,18.338308334350586
Ablation: Dropout = 0.0,24.066272735595703,38.05934524536133,18.937211990356445,16.580448150634766
