Experiment,Overall_MAE,Overall_RMSE,Overall_MAPE,Overall_sMAPE
BiLSTM Only,4.168355464935303,7.007448673248291,11.720765113830566,9.32142162322998
Transformer Only,4.087472438812256,6.9698076248168945,11.344200134277344,9.207575798034668
Proposed Hybrid,4.038647651672363,6.910706043243408,11.282525062561035,9.044697761535645
Ablation: 1 Transformer Layer,4.033202648162842,6.899779319763184,11.174099922180176,9.046379089355469
Ablation: 2 Attention Heads,4.050938606262207,6.936737060546875,11.460790634155273,9.08718204498291
Ablation: BiLSTM Hidden Size = 32,4.194149494171143,7.01416540145874,11.669790267944336,9.346304893493652
Ablation: Dropout = 0.0,4.050020694732666,6.890833854675293,11.086021423339844,9.06177806854248
