Experiment,Overall_MAE,Overall_RMSE,Overall_MAPE,Overall_sMAPE
BiLSTM Only,2.550368070602417,4.703442573547363,5.88062858581543,5.024979114532471
Transformer Only,2.5966053009033203,4.764332294464111,5.860998630523682,5.124409198760986
Proposed Hybrid,2.531005620956421,4.719435214996338,5.791177749633789,4.9725422859191895
Ablation: 1 Transformer Layer,2.5106139183044434,4.70775032043457,5.768159866333008,4.94717264175415
Ablation: 2 Attention Heads,2.4984753131866455,4.690108299255371,5.792433738708496,4.918546676635742
Ablation: BiLSTM Hidden Size = 32,2.549154043197632,4.806234836578369,5.979795455932617,5.034981727600098
Ablation: Dropout = 0.0,2.5015223026275635,4.6443400382995605,5.682801723480225,4.906203746795654
